name,type,tdp_watts,TFLOPS32, TFLOPS16,GFLOPS32/W,GFLOPS16/W,memory,source
A100 PCIe 40/80GB,gpu,250,,312,,,40,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/nvidia-a100-datasheet-us-nvidia-1758950-r4-web.pdf
A100 SXM4 80 GB,gpu,400,,312,,,80,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/nvidia-a100-datasheet-us-nvidia-1758950-r4-web.pdf
AGX Xavier,gpu,30,16,32,533.33,1066.67,,https://elinux.org/Jetson_AGX_Xavier
AMD RX480,gpu,150,5.8,5.8,38.67,38.67,8,techpowerup.com
GTX 1080 Ti,gpu,250,11.34,0.17,45.36,0.68,11,techpowerup.com
GTX 1080,gpu,180,8,0.13,44.44,0.72,8,techpowerup.com
GTX 750,gpu,250,1111,NaN,444.4,Nan,24,https://www.techpowerup.com/gpu-specs/geforce-gtx-750.c1986
GTX TITAN X,gpu,250,6.691,,26.76,,12,techpowerup.com
Quadro K6000,gpu,225,5.196,NaN,2.30933333333333,NaN,12,https://www.techpowerup.com/gpu-specs/quadro-k6000.c2426
Quadro P6000,gpu,250,12.63,197.4,5.052,789.6,24,https://www.techpowerup.com/gpu-specs/quadro-p6000.c2865
RTX 2080 Ti,gpu,250,13.45,26.9,53.8,107.6,11,techpowerup.com
RTX 2080,gpu,215,10,20,46.51,93.02,8,techpowerup.com
RTX 8000,gpu,260,16.31,32.62,62.7,125.46,48, https://www.techpowerup.com/gpu-specs/quadro-rtx-8000.c3306
T4,gpu,70,8.141,65.13,116.3,930,16,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/tesla-t4/t4-tensor-core-datasheet-951643.pdf
Tesla K40c,gpu,245,5.046,,20.6,,12,techpowerup.com
Tesla K80,gpu,300,4.113,,13.71,,12,techpowerup.com
Tesla M40 24GB,gpu,250,6.844,NaN,2.7376,NaN,12,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771
Tesla P100,gpu,250,9.526,19.05,38.1,76.2,16,techpowerup.com
Tesla P40,gpu,250,,,,,24,https://www.nvidia.com/content/dam/en-zz/Solutions/design-visualization/documents/nvidia-p40-datasheet.pdf
Tesla V100-PCIE-16GB,gpu,300,14.13,28.26,4.71,94.2,16,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957
Tesla V100-SXM2-16GB,gpu,250,16.35,32.71,65.4,130.84,16,https://www.techpowerup.com/gpu-specs/tesla-v100-sxm2-16-gb.c3471
Tesla V100-SXM2-32GB,gpu,300,15,30,50,100,32,https://www.techpowerup.com/gpu-specs/tesla-v100-sxm2-32-gb.c3185
Titan RTX,gpu,280,16.31,32.63,58.25,116.5,24,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311
Titan V,gpu,250,14.9,29.8,59.6,119.2,12,techpowerup.com
TITAN X Pascal,gpu,250,10.97,0.17,43.9,0.68,12,techpowerup.com
Titan Xp,gpu,250,12.15,0.1898,4.86,0.7592,12,https://www.techpowerup.com/gpu-specs/titan-xp.c2948
TPUv2 Chip,tpu,221,22,45,100,204,64,average consumption - not TDP - from https://arxiv.org/pdf/2104.10350.pdf (Patterson et. al)
TPUv3 Chip,tpu,283,45,90,160,320,128,average consumption - not TDP - from https://arxiv.org/pdf/2104.10350.pdf (Patterson et. al)
RTX 3080,gpu,320,29.77,29.77,NaN,NaN,10,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080.c3621
RTX 3080 TI,gpu,350,34.10,34.10,NaN,NaN,12,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080-ti.c3735
RTX 3090,gpu,350,35.58,35.58,NaN,NaN,24,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622
RTX A4000,gpu,140,19.17,19.17,NaN,NaN,16,https://www.techpowerup.com/gpu-specs/rtx-a4000.c3756
RTX A5000,gpu,230,27.80,27.80,NaN,NaN,24,https://nvdam.widen.net/s/wrqrqt75vh/nvidia-rtx-a5000-datasheet
RTX A6000,gpu,300,38.71,38.71,NaN,NaN,48,https://www.techpowerup.com/gpu-specs/rtx-a6000.c3686
Intel Xeon E5-2699,cpu,145,0.7,0.7,4.83,4.83,,https://ark.intel.com/content/www/us/en/ark/products/81061/intel-xeon-processor-e5-2699-v3-45m-cache-2-30-ghz.html
Intel Xeon E5-2630v4,cpu,85,NaN,NaN,NaN,NaN,NaN,https://ark.intel.com/content/www/es/es/ark/products/92981/intel-xeon-processor-e52630-v4-25m-cache-2-20-ghz.html
Intel Xeon E5-2650,cpu,105,NaN,NaN,NaN,NaN,NaN,https://ark.intel.com/content/www/us/en/ark/products/91767/intel-xeon-processor-e52650-v4-30m-cache-2-20-ghz.html
Intel Xeon Gold 5220,cpu,125,NaN,NaN,NaN,NaN,NaN,https://ark.intel.com/content/www/us/en/ark/products/193388/intel-xeon-gold-5220-processor-24-75m-cache-2-20-ghz.html
Intel Xeon Gold 6148,cpu,150,NaN,NaN,NaN,NaN,NaN,https://ark.intel.com/content/www/us/en/ark/products/120489/intel-xeon-gold-6148-processor-27-5m-cache-2-40-ghz.html
AMD EPYC 7763,cpu,280,NaN,NaN,NaN,NaN,NaN,https://www.amd.com/de/products/cpu/amd-epyc-7763
